All Fields,Survey 1,Survey 2,Survey 3,Present in field,Field size,Log field size,BQI 1=yes,Crop history,Crop1,Crop 2,Count1,Count2,Count3
1,1,1,1,1,14,1.146128036,1,crop,1,0,1,2,2
2,1,1,0,1,12.7,1.103803721,1,crop,1,0,2,2,0
3,0,0,0,0,15.7,1.195899652,0,grass,0,1,0,0,0
4,0,1,0,1,19.5,1.290034611,0,grass,0,1,0,2,0
5,1,0,1,1,13.5,1.130333768,0,crop,1,0,1,0,1
6,0,0,1,1,9.6,0.982271233,0,,,,0,0,2
7,0,0,1,1,44,1.643452676,1,crop,1,0,0,0,1
8,1,1,1,1,9.4,0.973127854,1,crop,1,0,1,3,1
9,1,1,0,1,19.6,1.292256071,0,,,,4,2,0
10,1,1,1,1,7,0.84509804,0,,,,4,3,4
11,1,1,0,1,20.9,1.320146286,1,crop,1,0,3,2,0
12,0,0,0,0,17.8,1.250420002,1,crop,1,0,0,0,0
13,0,0,0,0,14.4,1.158362492,1,crop,1,0,0,0,0
14,0,0,1,1,24.9,1.396199347,1,crop,1,0,0,0,1
15,1,1,1,1,6.4,0.806179974,1,crop,1,0,1,2,2
16,0,0,1,1,53.9,1.731588765,1,crop,1,0,1,0,2
17,0,0,1,1,10.3,1.012837225,0,crop,1,0,0,0,1
18,0,0,0,0,12,1.079181246,0,crop,1,0,0,0,0
19,0,1,1,1,6.8,0.832508913,0,,,,0,3,3
20,0,0,0,0,17.6,1.245512668,0,crop,1,0,0,0,0
21,1,0,0,1,18.8,1.274157849,0,crop,1,0,1,0,0
22,0,1,0,1,28,1.447158031,0,crop,1,0,0,3,0
23,1,0,0,1,7.9,0.897627091,0,crop,1,0,1,0,0
24,1,1,1,1,38.3,1.583198774,0,crop,1,0,3,1,1
25,1,1,1,1,15.9,1.201397124,0,crop,1,0,1,2,2
26,0,1,1,1,11.3,1.053078443,0,crop,1,0,0,1,1
27,0,0,1,1,10.5,1.021189299,0,crop,1,0,0,0,1
28,0,1,0,1,10.3,1.012837225,1,crop,1,0,0,1,0
29,1,1,0,1,18.2,1.260071388,0,grass,0,1,1,1,0
30,0,1,1,1,23,1.361727836,0,grass,0,1,0,2,2
31,0,0,0,0,30.2,1.480006943,0,crop,1,0,0,0,0
32,1,1,1,1,6.7,0.826074803,0,crop,1,0,2,1,2
33,1,0,0,1,10,1,0,crop,1,0,1,0,0
34,1,1,0,1,10,1,0,crop,1,0,4,1,0
35,0,0,0,0,18.1,1.257678575,1,crop,1,0,0,0,0
36,0,0,0,0,6.8,0.832508913,1,crop,1,0,0,0,0
37,0,1,0,1,9.2,0.963787827,0,mixed,0,0,0,1,0
38,0,1,1,1,10.7,1.029383778,0,mixed,0,0,0,1,1
39,1,1,1,1,9,0.954242509,0,mixed,0,0,1,1,4
40,1,0,1,1,9.1,0.959041392,0,mixed,0,0,2,0,2
41,0,1,0,1,10.4,1.017033339,1,,,,0,3,0
